Player Name,Player Profile URL,Rank,Team,Wickets,Matches,Innings,Overs,Runs Conceded,Best Bowling,Average,Economy,Strike Rate,4 Wicket Hauls,5 Wicket Hauls
Arshad Khan,https://www.iplt20.com/players/arshad-khan/20599,65,MI,5,6,6,14.1,190,39/3,38.00,13.41,17.00,0,0
Nitish Rana,https://www.iplt20.com/players/nitish-rana/2738,74,KKR,3,14,6,8.5,75,17/2,25.00,8.49,17.66,0,0
Yudhvir Singh,https://www.iplt20.com/players/yudhvir-singh/10842,75,LSG,3,3,3,8.0,70,19/2,23.33,8.75,16.00,0,0
Arjun Tendulkar,https://www.iplt20.com/players/arjun-tendulkar/10244,78,MI,3,4,4,9.5,92,9/1,30.66,9.35,19.66,0,0
Asif K M,https://www.iplt20.com/players/asif-k-m/4944,80,RR,3,4,4,14.0,138,42/2,46.00,9.85,28.00,0,0
Sikandar Raza,https://www.iplt20.com/players/sikandar-raza/5603,81,PBKS,3,7,6,12.0,119,19/1,39.66,9.91,24.00,0,0
Rajvardhan Hangargekar,https://www.iplt20.com/players/rajvardhan-hangargekar/20571,82,CSK,3,2,2,6.0,60,36/3,20.00,10.00,12.00,0,0
Adil Rashid,https://www.iplt20.com/players/adil-rashid/796,87,SRH,2,2,2,7.0,56,23/2,28.00,8.00,21.00,0,0
Jofra Archer,https://www.iplt20.com/players/jofra-archer/3502,89,MI,2,5,5,20.0,190,35/1,95.00,9.50,60.00,0,0
Kuldip Yadav,https://www.iplt20.com/players/kuldip-yadav/12480,90,RR,2,2,2,7.0,68,18/1,34.00,9.71,21.00,0,0
Abhishek Sharma,https://www.iplt20.com/players/abhishek-sharma/3760,91,SRH,2,11,5,12.0,124,26/1,62.00,10.33,36.00,0,0
Kulwant Khejroliya,https://www.iplt20.com/players/kulwant-khejroliya/3835,95,KKR,2,2,2,4.2,64,44/2,32.00,14.76,13.00,0,0
Praveen Dubey,https://www.iplt20.com/players/praveen-dubey/3188,96,DC,1,1,1,3.0,19,19/1,19.00,6.33,18.00,0,0
Glenn Phillips,https://www.iplt20.com/players/glenn-phillips/3027,97,SRH,1,5,2,3.0,20,10/1,20.00,6.66,18.00,0,0
Tristan Stubbs,https://www.iplt20.com/players/tristan-stubbs/20631,98,MI,1,2,1,2.0,14,14/1,14.00,7.00,12.00,0,0
Reece Topley,https://www.iplt20.com/players/reece-topley/5607,99,RCB,1,1,1,2.0,14,14/1,14.00,7.00,12.00,0,0
Mayank Dagar,https://www.iplt20.com/players/mayank-dagar/2968,100,SRH,1,3,3,11.0,83,37/1,83.00,7.54,66.00,0,0
Sisanda Magala,https://www.iplt20.com/players/sisanda-magala/745,101,CSK,1,2,2,6.0,51,37/1,51.00,8.50,36.00,0,0
Rovman Powell,https://www.iplt20.com/players/rovman-powell/3333,104,DC,1,3,1,2.0,18,18/1,18.00,9.00,12.00,0,0
Akeal Hosein,https://www.iplt20.com/players/akeal-hosein/5608,106,SRH,1,1,1,4.0,40,40/1,40.00,10.00,24.00,0,0
Duan Jansen,https://www.iplt20.com/players/duan-jansen/5647,111,MI,1,1,1,4.0,53,53/1,53.00,13.25,24.00,0,0
Mitchell Starc,https://www.iplt20.com/players/mitchell-starc/490,15,KKR,17,14,13,41.5,444,33/4,26.11,10.61,14.76,1,0
Gerald Coetzee,https://www.iplt20.com/players/gerald-coetzee/20686,26,MI,13,10,10,33.3,341,34/4,26.23,10.17,15.46,1,0
Rasikh Salam,https://www.iplt20.com/players/rasikh-salam/20577,42,DC,9,8,8,24.3,269,34/3,29.88,10.97,16.33,0,0
Nuwan Thushara,https://www.iplt20.com/players/nuwan-thushara/20700,45,MI,8,7,7,26.0,257,28/3,32.12,9.88,19.50,0,0
Mayank Yadav,https://www.iplt20.com/players/mayank-yadav/20585,49,LSG,7,4,4,12.1,85,14/3,12.14,6.98,10.42,0,0
Nandre Burger,https://www.iplt20.com/players/nandre-burger/20716,51,RR,7,6,5,17.0,145,29/2,20.71,8.52,14.57,0,0
Swapnil Singh,https://www.iplt20.com/players/swapnil-singh/3180,58,RCB,6,7,7,15.0,133,28/2,22.16,8.86,15.00,0,0
Sandeep Warrier,https://www.iplt20.com/players/sandeep-warrier/1092,60,GT,6,5,5,11.0,119,15/3,19.83,10.81,11.00,0,0
Azmatullah Omarzai,https://www.iplt20.com/players/azmatullah-omarzai/20685,65,GT,4,7,7,21.0,186,27/2,46.50,8.85,31.50,0,0
Spencer Johnson,https://www.iplt20.com/players/spencer-johnson/20699,67,GT,4,5,5,16.0,151,25/2,37.75,9.43,24.00,0,0
Shreyas Gopal,https://www.iplt20.com/players/shreyas-gopal/20696,74,MI,3,3,3,7.0,67,9/1,22.33,9.57,14.00,0,0
Nitish Kumar Reddy,https://www.iplt20.com/players/nitish-kumar-reddy/5711,75,SRH,3,13,7,13.1,153,17/2,51.00,11.62,26.33,0,0
Keshav Maharaj,https://www.iplt20.com/players/keshav-maharaj/20726,76,RR,2,2,2,6.0,39,23/2,19.50,6.50,18.00,0,0
Mohammad Nabi,https://www.iplt20.com/players/mohammad-nabi/618,80,MI,2,7,6,12.2,109,16/1,54.50,8.83,37.00,0,0
Vidwath Kaverappa,https://www.iplt20.com/players/vidwath-kaverappa/5656,82,PBKS,2,1,1,4.0,36,36/2,18.00,9.00,12.00,0,0
Will Jacks,https://www.iplt20.com/players/will-jacks/5629,83,RCB,2,8,5,9.0,100,23/1,50.00,11.11,27.00,0,0
Anshul Kamboj,https://www.iplt20.com/players/anshul-kamboj/20702,84,MI,2,3,3,10.0,114,24/1,57.00,11.40,30.00,0,0
Shashank Singh,https://www.iplt20.com/players/shashank-singh/3261,85,PBKS,1,14,1,1.0,5,5/1,5.00,5.00,6.00,0,0
M Siddharth,https://www.iplt20.com/players/m-siddharth/7119,87,LSG,1,3,3,9.0,71,21/1,71.00,7.88,54.00,0,0
Vijayakanth Viyaskanth,https://www.iplt20.com/players/vijayakanth-viyaskanth/20728,88,SRH,1,3,3,10.0,86,37/1,86.00,8.60,60.00,0,0
Richard Gleeson,https://www.iplt20.com/players/richard-gleeson/20730,89,CSK,1,2,2,7.5,71,30/1,71.00,9.06,47.00,0,0
Matt Henry,https://www.iplt20.com/players/matt-henry/1505,90,LSG,1,4,4,12.0,110,28/1,110.00,9.16,72.00,0,0
Daryl Mitchell,https://www.iplt20.com/players/daryl-mitchell/20617,94,CSK,1,13,2,6.0,70,18/1,70.00,11.66,36.00,0,0
Lizaad Williams,https://www.iplt20.com/players/lizaad-williams/20727,96,DC,1,2,2,6.0,72,38/1,72.00,12.00,36.00,0,0
Mitchell Marsh,https://www.iplt20.com/players/mitchell-marsh/,97,DC,1,4,3,8.0,103,37/1,103.00,12.87,48.00,0,0
Shivam Dube,https://www.iplt20.com/players/shivam-dube/5431,101,CSK,1,14,1,1.0,14,14/1,14.00,14.00,6.00,0,0
Kwena Maphaka,https://www.iplt20.com/players/kwena-maphaka/20724,103,MI,1,2,2,6.0,89,23/1,89.00,14.83,36.00,0,0
Luke Wood,https://www.iplt20.com/players/luke-wood/20721,104,MI,1,2,2,6.0,93,68/1,93.00,15.50,36.00,0,0
Digvesh Singh,https://www.iplt20.com/players/digvesh-singh/5847,20,LSG,14,13,13,52.0,429,30/2,30.64,8.25,22.28,0,0
Eshan Malinga,https://www.iplt20.com/players/eshan-malinga/22228,23,SRH,13,7,7,26.4,238,31/3,18.30,8.92,12.30,0,0
Vipraj Nigam,https://www.iplt20.com/players/vipraj-nigam/22053,32,DC,11,14,13,39.0,356,18/2,32.36,9.12,21.27,0,0
Ashwani Kumar,https://www.iplt20.com/players/ashwani-kumar/22030,36,MI,11,7,7,20.3,232,24/4,21.09,11.31,11.18,1,0
Vignesh Puthur,https://www.iplt20.com/players/vignesh-puthur/22266,52,MI,6,5,5,12.0,109,32/3,18.16,9.08,12.00,0,0
Zeeshan Ansari,https://www.iplt20.com/players/zeeshan-ansari/22007,53,SRH,6,10,10,33.5,333,42/3,55.50,9.84,33.83,0,0
Mohd Arshad Khan,https://www.iplt20.com/players/mohd-arshad-khan/20599,54,GT,6,9,9,21.0,217,7/1,36.16,10.33,21.00,0,0
William O Rourke,https://www.iplt20.com/players/william-o-rourke/22385,57,LSG,6,3,3,10.2,132,27/3,22.00,12.77,10.33,0,0
Kyle Jamieson,https://www.iplt20.com/players/kyle-jamieson/1616,60,PBKS,5,4,4,15.0,147,48/3,29.40,9.80,18.00,0,0
Harsh Dubey,https://www.iplt20.com/players/harsh-dubey/22381,61,SRH,5,3,3,10.0,98,34/3,19.60,9.80,12.00,0,0
Lungisani Ngidi,https://www.iplt20.com/players/lungisani-ngidi/3746,66,RCB,4,2,2,8.0,81,30/3,20.25,10.12,12.00,0,0
Yudhvir Singh Charak,https://www.iplt20.com/players/yudhvir-singh-charak/10842,71,RR,4,4,4,11.0,131,47/3,32.75,11.90,16.50,0,0
Prince Yadav,https://www.iplt20.com/players/prince-yadav/22097,73,LSG,3,6,6,22.5,225,29/1,75.00,9.85,45.66,0,0
Kamindu Mendis,https://www.iplt20.com/players/kamindu-mendis/22077,77,SRH,2,5,4,7.0,60,4/1,30.00,8.57,21.00,0,0
Xavier Bartlett,https://www.iplt20.com/players/xavier-bartlett/22112,80,PBKS,2,4,4,10.0,96,26/1,48.00,9.60,30.00,0,0
Corbin Bosch,https://www.iplt20.com/players/corbin-bosch/20680,91,MI,1,2,2,7.0,55,26/1,55.00,7.85,42.00,0,0
Pravin Dubey,https://www.iplt20.com/players/pravin-dubey/3188,94,PBKS,1,1,1,2.0,20,20/1,20.00,10.00,12.00,0,0
Rasikh Dar,https://www.iplt20.com/players/rasikh-dar/20577,98,RCB,1,2,2,6.0,70,35/1,70.00,11.66,36.00,0,0
Shahrukh Khan,https://www.iplt20.com/players/shahrukh-khan/7779,105,GT,1,15,1,1.0,13,13/1,13.00,13.00,6.00,0,0
V Satyanarayana Penmetsa,https://www.iplt20.com/players/v-satyanarayana-penmetsa/22161,106,MI,1,2,2,4.0,53,40/1,53.00,13.25,24.00,0,0
Musheer Khan,https://www.iplt20.com/players/musheer-khan/22085,107,PBKS,1,1,1,2.0,27,27/1,27.00,13.50,12.00,0,0
Mujeeb-ur-Rahman,https://www.iplt20.com/players/mujeeb-ur-rahman/4572,108,MI,1,1,1,2.0,28,28/1,28.00,14.00,12.00,0,0
Jos Buttler,https://www.iplt20.com/players/jos-buttler/509,,,,,,,,,,,,,
K L Rahul,https://www.iplt20.com/players/k-l-rahul/1125,,,,,,,,,,,,,
Quinton De Kock,https://www.iplt20.com/players/quinton-de-kock/834,,,,,,,,,,,,,
Shubman Gill,https://www.iplt20.com/players/shubman-gill/3761,,,,,,,,,,,,,
David Miller,https://www.iplt20.com/players/david-miller/187,,,,,,,,,,,,,
Faf Du Plessis,https://www.iplt20.com/players/faf-du-plessis/24,,,,,,,,,,,,,
Shikhar Dhawan,https://www.iplt20.com/players/shikhar-dhawan/41,,,,,,,,,,,,,
Sanju Samson,https://www.iplt20.com/players/sanju-samson/258,,,,,,,,,,,,,
David Warner,https://www.iplt20.com/players/david-warner/170,,,,,,,,,,,,,
Ishan Kishan,https://www.iplt20.com/players/ishan-kishan/2975,,,,,,,,,,,,,
Rahul Tripathi,https://www.iplt20.com/players/rahul-tripathi/3838,,,,,,,,,,,,,
Shreyas Iyer,https://www.iplt20.com/players/shreyas-iyer/1563,,,,,,,,,,,,,
Tilak Varma,https://www.iplt20.com/players/tilak-varma/20594,,,,,,,,,,,,,
Devdutt Padikkal,https://www.iplt20.com/players/devdutt-padikkal/5430,,,,,,,,,,,,,
Ruturaj Gaikwad,https://www.iplt20.com/players/ruturaj-gaikwad/5443,,,,,,,,,,,,,
Virat Kohli,https://www.iplt20.com/players/virat-kohli/164,,,,,,,,,,,,,
Rishabh Pant,https://www.iplt20.com/players/rishabh-pant/2972,,,,,,,,,,,,,
Rajat Patidar,https://www.iplt20.com/players/rajat-patidar/5471,,,,,,,,,,,,,
Dinesh Karthik,https://www.iplt20.com/players/dinesh-karthik/102,,,,,,,,,,,,,
Wriddhiman Saha,https://www.iplt20.com/players/wriddhiman-saha/16,,,,,,,,,,,,,
Shimron Hetmyer,https://www.iplt20.com/players/shimron-hetmyer/1705,,,,,,,,,,,,,
Nicholas Pooran,https://www.iplt20.com/players/nicholas-pooran/1703,,,,,,,,,,,,,
Suryakumar Yadav,https://www.iplt20.com/players/suryakumar-yadav/108,,,,,,,,,,,,,
Prithvi Shaw,https://www.iplt20.com/players/prithvi-shaw/3764,,,,,,,,,,,,,
Ambati Rayudu,https://www.iplt20.com/players/ambati-rayudu/100,,,,,,,,,,,,,
Rohit Sharma,https://www.iplt20.com/players/rohit-sharma/107,,,,,,,,,,,,,
Yashasvi Jaiswal,https://www.iplt20.com/players/yashasvi-jaiswal/13538,,,,,,,,,,,,,
Jonny Bairstow,https://www.iplt20.com/players/jonny-bairstow/506,,,,,,,,,,,,,
Devon Conway,https://www.iplt20.com/players/devon-conway/20572,,,,,,,,,,,,,
Jitesh Sharma,https://www.iplt20.com/players/jitesh-sharma/3185,,,,,,,,,,,,,
MS Dhoni,https://www.iplt20.com/players/ms-dhoni/1,,,,,,,,,,,,,
Robin Uthappa,https://www.iplt20.com/players/robin-uthappa/127,,,,,,,,,,,,,
Rahul Tewatia,https://www.iplt20.com/players/rahul-tewatia/1749,,,,,,,,,,,,,
Kane Williamson,https://www.iplt20.com/players/kane-williamson/440,,,,,,,,,,,,,
Bhanuka Rajapaksa,https://www.iplt20.com/players/bhanuka-rajapaksa/20604,,,,,,,,,,,,,
Mayank Agarwal,https://www.iplt20.com/players/mayank-agarwal/158,,,,,,,,,,,,,
Tim David,https://www.iplt20.com/players/tim-david/4524,,,,,,,,,,,,,
Venkatesh Iyer,https://www.iplt20.com/players/venkatesh-iyer/8540,,,,,,,,,,,,,
Rinku Singh,https://www.iplt20.com/players/rinku-singh/3830,,,,,,,,,,,,,
Sam Billings,https://www.iplt20.com/players/sam-billings/2756,,,,,,,,,,,,,
Matthew Wade,https://www.iplt20.com/players/matthew-wade/290,,,,,,,,,,,,,
Sai Sudharsan,https://www.iplt20.com/players/sai-sudharsan/20592,,,,,,,,,,,,,
Ajinkya Rahane,https://www.iplt20.com/players/ajinkya-rahane/135,,,,,,,,,,,,,
Anuj Rawat,https://www.iplt20.com/players/anuj-rawat/10788,,,,,,,,,,,,,
Abhinav Manohar,https://www.iplt20.com/players/abhinav-manohar/20589,,,,,,,,,,,,,
Sarfaraz Khan,https://www.iplt20.com/players/sarfaraz-khan/1564,,,,,,,,,,,,,
Manish Pandey,https://www.iplt20.com/players/manish-pandey/123,,,,,,,,,,,,,
Mahipal Lomror,https://www.iplt20.com/players/mahipal-lomror/2970,,,,,,,,,,,,,
Aaron Finch,https://www.iplt20.com/players/aaron-finch/167,,,,,,,,,,,,,
Evin Lewis,https://www.iplt20.com/players/evin-lewis/872,,,,,,,,,,,,,
Suyash S Prabhudessai,https://www.iplt20.com/players/suyash-s-prabhudessai/7002,,,,,,,,,,,,,
Priyam Garg,https://www.iplt20.com/players/priyam-garg/3775,,,,,,,,,,,,,
Jagadeesan Narayan,https://www.iplt20.com/players/jagadeesan-narayan/4942,,,,,,,,,,,,,
Sherfane Rutherford,https://www.iplt20.com/players/sherfane-rutherford/5396,,,,,,,,,,,,,
James Neesham,https://www.iplt20.com/players/james-neesham/20615,,,,,,,,,,,,,
Tim Seifert,https://www.iplt20.com/players/tim-seifert/1619,,,,,,,,,,,,,
Sheldon Jackson,https://www.iplt20.com/players/sheldon-jackson/1116,,,,,,,,,,,,,
Rassie van der Dussen,https://www.iplt20.com/players/rassie-van-der-dussen/20619,,,,,,,,,,,,,
B Indrajith,https://www.iplt20.com/players/b-indrajith/20578,,,,,,,,,,,,,
Manan Vohra,https://www.iplt20.com/players/manan-vohra/1085,,,,,,,,,,,,,
Vijay Shankar,https://www.iplt20.com/players/vijay-shankar/1083,,,,,,,,,,,,,
Mandeep Singh,https://www.iplt20.com/players/mandeep-singh/72,,,,,,,,,,,,,
Karun Nair,https://www.iplt20.com/players/karun-nair/276,,,,,,,,,,,,,
Simran Singh,https://www.iplt20.com/players/simran-singh/5436,,,,,,,,,,,,,
Anmolpreet Singh,https://www.iplt20.com/players/anmolpreet-singh/2965,,,,,,,,,,,,,
Rajangad Bawa,https://www.iplt20.com/players/rajangad-bawa/20601,,,,,,,,,,,,,
Srikar Bharat,https://www.iplt20.com/players/srikar-bharat/2734,,,,,,,,,,,,,
Ripal Patel,https://www.iplt20.com/players/ripal-patel/17191,,,,,,,,,,,,,
Aman Khan,https://www.iplt20.com/players/aman-khan/20581,,,,,,,,,,,,,
Prerak Mankad,https://www.iplt20.com/players/prerak-mankad/20602,,,,,,,,,,,,,
Karan Sharma,https://www.iplt20.com/players/karan-sharma/20588,,,,,,,,,,,,,
Abdul Samad,https://www.iplt20.com/players/abdul-samad/19352,,,,,,,,,,,,,
Abhijeet Tomar,https://www.iplt20.com/players/abhijeet-tomar/20580,,,,,,,,,,,,,
Nathan Coulter-Nile,https://www.iplt20.com/players/nathan-coulter-nile/,,,,,,,,,,,,,
Heinrich Klaasen,https://www.iplt20.com/players/heinrich-klaasen/3869,,,,,,,,,,,,,
Kyle Mayers,https://www.iplt20.com/players/kyle-mayers/20587,,,,,,,,,,,,,
Jason Roy,https://www.iplt20.com/players/jason-roy/1906,,,,,,,,,,,,,
Nehal Wadera,https://www.iplt20.com/players/nehal-wadera/5859,,,,,,,,,,,,,
Rahmanullah Gurbaz,https://www.iplt20.com/players/rahmanullah-gurbaz/20625,,,,,,,,,,,,,
Phil Salt,https://www.iplt20.com/players/phil-salt/5606,,,,,,,,,,,,,
Rilee Rossouw,https://www.iplt20.com/players/rilee-rossouw/239,,,,,,,,,,,,,
